name,address,city,zip,sra_id,sra
Sage Canyon,5290 Harvest Run Drive,San Diego,92130,13,DEL MAR-MIRA MESA
Torrey Hills,10830 Calle Mar de Mariposa,San Diego,92130,13,DEL MAR-MIRA MESA
Sandburg Elementary,11230 Avenida del Gato,San Diego,92126,13,DEL MAR-MIRA MESA
Hage Elementary,9750 Galvin Avenue,San Diego,92126,13,DEL MAR-MIRA MESA
Hickman Elementary,10850 Montongo Street,San Diego,92126,13,DEL MAR-MIRA MESA
Challenger Middle,10810 Parkdale Avenue,San Diego,92126,13,DEL MAR-MIRA MESA
Murdock Elementary,4354 Conrad Drive,La Mesa,91941,31,SPRING VALLEY
Hoover High,4474 El Cajon Boulevard,San Diego,92115,6,MID-CITY
La Mesa Dale Elementary,4370 Parks Avenue,La Mesa,91941,33,LA MESA
Mann Middle,4345 54th Street,San Diego,92115,6,MID-CITY
Helix High,7323 University Avenue,La Mesa,91941,33,LA MESA
Wilson Middle,3838 Orange Avenue,San Diego,92105,6,MID-CITY
Rancho San Diego Elementary,12151 Calle Albara,El Cajon,92019,31,SPRING VALLEY
Charter School of San Diego,10170 Huennekens Street,San Diego,92121,13,DEL MAR-MIRA MESA
Las Palmas,1900 East 18th Street,National City,91950,4,NATIONAL CITY
Lincoln Acres,2200 Lanoitan Avenue,National City,91950,4,NATIONAL CITY
John A. Otis Elementary,621 East 18th Street,National City,91950,4,NATIONAL CITY
National City Middle,1701 D Avenue,National City,91950,4,NATIONAL CITY
Kimball,302 West 18th Street,National City,91950,4,NATIONAL CITY
Clover Flat Elementary,39639 Old Highway 80,Boulevard,91905,62,MOUNTAIN EMPIRE
Olivewood,2505 F Avenue,National City,91950,4,NATIONAL CITY
Valley Vista Elementary,3724 Valley Vista Way,Bonita,91902,20,SWEETWATER
Sweetwater High,2900 Highland Avenue,National City,91950,4,NATIONAL CITY
Marshall (Thurgood) Elementary,2295 MacKenzie Creek Road,Chula Vista,91914,20,SWEETWATER
Rosebank Elementary,80 Flower Street,Chula Vista,91911,21,CHULA VISTA
Lakeview Elementary,9205 Lakeview Road,Lakeside,92040,36,LAKESIDE
Whitman Elementary,4050 Appleton Street,San Diego,92117,10,KEARNY MESA
Kumeyaay Elementary,6475 Antigua Boulevard,San Diego,92124,17,ELLIOTT-NAVAJO
Muirlands Middle,1056 Nautilus Street,La Jolla,92037,11,COASTAL
Vista Grande Elementary,5606 Antigua Boulevard,San Diego,92124,17,ELLIOTT-NAVAJO
PRIDE Academy at Prospect Avenue,9303 Prospect Avenue,Santee,92071,35,SANTEE
Chet F. Harritt Elementary,8120 Arlette Street,Santee,92071,35,SANTEE
Shadow Hills Elementary,8770 Harbison Canyon Road,Alpine,91901,37,HARBISON CREST
Mountain View Learning Academy,8770 Harbison Canyon Road,Alpine,91901,37,HARBISON CREST
Creekside Early Learning Center,8818 Harbison Canyon Road,Alpine,91901,37,HARBISON CREST
Winter Gardens Elementary,8501 Pueblo Road,Lakeside,92040,36,LAKESIDE
Tierrasanta Elementary,5450 La Cuenta Drive,San Diego,92124,17,ELLIOTT-NAVAJO
De Portola Middle,11010 Clairemont Mesa Boulevard,San Diego,92124,17,ELLIOTT-NAVAJO
Sequoia Elementary,4690 Limerick Avenue,San Diego,92117,10,KEARNY MESA
Pepper Drive Elementary,1935 Marlinda Way,El Cajon,92021,36,LAKESIDE
Canyon Hills High,5156 Santo Road,San Diego,92124,17,ELLIOTT-NAVAJO
Mt. Everest Academy,4350 Mount Everest Boulevard,San Diego,92117,10,KEARNY MESA
Farb Middle,4880 La Cuenta Drive,San Diego,92124,17,ELLIOTT-NAVAJO
Boulder Oaks Elementary,2320 Tavern Road,Alpine,91901,38,ALPINE
Miller Elementary,4343 Shields Street,San Diego,92124,17,ELLIOTT-NAVAJO
Bird Rock Elementary,5371 La Jolla Hermosa Avenue,La Jolla,92037,11,COASTAL
Ross Elementary,7470 Bagdad Street,San Diego,92111,10,KEARNY MESA
Riley/New Dawn,5650 Mount Ackerly Drive,San Diego,92111,10,KEARNY MESA
Sessions Elementary,2150 Beryl Street,San Diego,92109,11,COASTAL
Chula Vista Learning Community Charter,590 K Street,Chula Vista,91910,21,CHULA VISTA
Chula Vista Senior High,820 Fourth Avenue,Chula Vista,91911,21,CHULA VISTA
Kellogg (Karl H.) Elementary,229 East Naples Street,Chula Vista,91911,21,CHULA VISTA
Rice (Lilian J.) Elementary,915 Fourth Avenue,Chula Vista,91911,21,CHULA VISTA
Castle Park Elementary,25 Emerson Street,Chula Vista,91910,21,CHULA VISTA
Options Secondary,467 Moss Street,Chula Vista,91911,21,CHULA VISTA
Parkview Elementary,575 Juniper Street,Chula Vista,91911,20,SWEETWATER
Alta Vista Academy,730 Medical Center Court,Chula Vista,91911,20,SWEETWATER
Palomar Elementary,300 East Palomar Street,Chula Vista,91911,21,CHULA VISTA
Cottonwood Community Day,3291 Buckman Springs Road,Pine Valley,91962,62,MOUNTAIN EMPIRE
Potrero Elementary,24875 Potrero Valley Road,Potrero,91963,62,MOUNTAIN EMPIRE
Castle Park Senior High,1395 Hilltop Drive,Chula Vista,91911,21,CHULA VISTA
Lauderbach (J. Calvin) Elementary,390 Palomar Street,Chula Vista,91911,21,CHULA VISTA
Castle Park Middle,160 Quintard Street,Chula Vista,91911,21,CHULA VISTA
Sweetwater Community Day,1355 Second Avenue,Chula Vista,91911,21,CHULA VISTA
Palomar High,480 Palomar Street,Chula Vista,91911,21,CHULA VISTA
Valle Lindo Elementary,1515 Oleander Avenue,Chula Vista,91911,20,SWEETWATER
Loma Verde Elementary,1450 Loma Lane,Chula Vista,91911,21,CHULA VISTA
Montgomery (John J.) Elementary,1601 Fourth Avenue,Chula Vista,91911,21,CHULA VISTA
Otay Elementary,1651 Albany Avenue,Chula Vista,91911,21,CHULA VISTA
Bayside STEAM Academy,490 Emory Street,Imperial Beach,91932,22,SOUTH BAY
Finney (Myrtle S.) Elementary,3950 Byrd Street,San Diego,92154,22,SOUTH BAY
Lafayette Elementary,6125 Printwood Way,San Diego,92117,10,KEARNY MESA
Cadman Elementary,4370 Kamloop Avenue,San Diego,92117,10,KEARNY MESA
W. D. Hall Elementary,1376 Pepper Drive,El Cajon,92021,36,LAKESIDE
Clairemont Canyons Academy,4133 Mount Albertine Avenue,San Diego,92111,10,KEARNY MESA
Joan MacQueen Middle,2001 Tavern Road,Alpine,91901,38,ALPINE
Ocean View Hills,4919 Del Sol Boulevard,San Diego,92154,22,SOUTH BAY
Scripps Elementary,11778 Cypress Canyon Road,San Diego,92131,15,POWAY
Westview High,13500 Camino Del Sur,San Diego,92129,13,DEL MAR-MIRA MESA
Vallecitos Elementary,5211 Fifth Street,Rainbow,92028,55,FALLBROOK
San Jose Valley Continuation High,30951 Highway 79,Warner Springs,92086,60,PALOMAR-JULIAN
Nichols Elementary,4250 Old Grove Road,Oceanside,92056,42,OCEANSIDE
Hannalei Elementary,120 Hannalei Drive,Vista,92083,52,VISTA
Ada W. Harris Elementary,1508 Windsor Road,Cardiff-by-the-Sea,92007,40,SAN DIEGUITO
Cardiff Elementary,1888 Montgomery Avenue,Cardiff-by-the-Sea,92007,40,SAN DIEGUITO
High Tech High Media Arts,2230 Truxtun Road Third Floor,San Diego,92106,2,PENINSULA
Curie Elementary,4080 Governor Drive,San Diego,92122,12,UNIVERSITY
La Jolla Elementary,1111 Marine Street,La Jolla,92037,11,COASTAL
Hawthorne Elementary,4750 Lehrer Drive,San Diego,92117,10,KEARNY MESA
Rios Elementary,14314 Rios Canyon Road,El Cajon,92021,37,HARBISON CREST
La Jolla High,750 Nautilus Street,La Jolla,92037,11,COASTAL
Alcott Elementary,4680 Hidalgo Avenue,San Diego,92117,10,KEARNY MESA
Field Elementary,4375 Bannock Avenue,San Diego,92117,10,KEARNY MESA
Madison High,4833 Doliva Drive,San Diego,92117,10,KEARNY MESA
Mission Bay High,2475 Grand Avenue,San Diego,92109,11,COASTAL
Maryland Elementary,700 North Avenue,Vista,92084,52,VISTA
San Elijo Elementary,1615 Schoolhouse Way,San Marcos,92078,51,SAN MARCOS
Monterey Ridge Elementary,17117 4S Ranch Parkway,San Diego,92127,14,NORTH SAN DIEGO
Los Coches Creek Middle,9669 Dunbar Lane,El Cajon,92021,37,HARBISON CREST
Creative Performing and Media Arts,5050 Conrad Avenue,San Diego,92117,10,KEARNY MESA
John Muir Language Academy,4431 Mount Herbert Avenue,San Diego,92117,10,KEARNY MESA
Magnolia Science Academy San Diego,6525 Estrella Avenue,San Diego,92120,17,ELLIOTT-NAVAJO
Normal Heights Elementary,3750 Ward Road,San Diego,92116,6,MID-CITY
Cherokee Point Elementary,3735 38th Street,San Diego,92105,6,MID-CITY
Ibarra Elementary,4877 Orange Avenue,San Diego,92115,6,MID-CITY
Veterans Elementary,1550 Magdalena Avenue,Chula Vista,91913,20,SWEETWATER
Olympian High,1925 Magdalena Avenue,Chula Vista,91913,20,SWEETWATER
Golden Hill K-8,1240 33rd Street,San Diego,92102,1,CENTRAL SAN DIEGO
Lincoln High,4777 Imperial Avenue,San Diego,92113,5,SOUTHEASTERN SAN DIEGO
Porter Elementary,4800 T Street,San Diego,92113,5,SOUTHEASTERN SAN DIEGO
Wolf Canyon Elementary,1950 Wolf Canyon Loop,Chula Vista,91913,20,SWEETWATER
Joyner Elementary,4271 Myrtle Avenue,San Diego,92105,6,MID-CITY
